DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-03-18,Global/Other,178,663,667,179,-2.6446476972698627,-2.650700814133443,-1.1376404494382022,-10.7142857142857,8.46560846560846,2.764733314625209,2025-03-18
2025-03-18,Western,22,67,67,22,-2.3650096972801053,-1.1790312822400089,-2.209090909090909,-6.01092896174863,2.71646859083192,2.6321681462633606,2025-03-18
2025-03-19,Chinese,12,75,75,12,-4.036160004052745,-3.4179959948385226,-3.6,-6.04026845637584,-0.9478672985782,2.045508482710395,2025-03-19
2025-03-19,Global/Other,179,643,653,187,-2.3404724124043397,-2.570600053085987,-1.4994413407821228,-12.0418848167539,7.18816067653279,3.2551197125292184,2025-03-19
2025-03-19,Western,21,58,58,21,-1.8634523319099532,-1.3623502630471072,-1.7428571428571429,-5.18134715025907,2.71646859083192,2.131657715663733,2025-03-19
2025-03-20,Chinese,11,50,54,16,-5.347083727281876,-7.818330826647996,1.7454545454545454,-10.3260869565218,-0.79681274900398,4.7771466274058,2025-03-20
2025-03-20,Global/Other,186,517,536,191,-2.3873983078856615,-2.3521609436314916,-1.7333333333333332,-12.7272727272727,3.16666666666667,2.5778630389226587,2025-03-20
2025-03-20,Western,5,9,9,7,-5.756209673120422,-5.710857018840043,-1.8,-10.6194690265486,-0.68886337543054,4.970542877848162,2025-03-20
2025-03-21,Chinese,7,66,66,10,-2.3486535019250816,-2.420665194096536,0.14285714285714285,-2.9585798816568,0.38314176245211,1.2434596877368052,2025-03-21
2025-03-21,Global/Other,275,973,976,302,-2.506977840576785,-2.472385971595041,-1.546909090909091,-17.2413793103448,4.44726810673444,2.643769984134756,2025-03-21
2025-03-21,Western,16,33,33,17,-1.183905429536858,-1.2881907459863793,-1.9000000000000001,-6.87203791469194,1.0752688172043,2.2189884479590947,2025-03-21
2025-03-22,Global/Other,151,460,461,155,-2.510677448868556,-2.7647449576502723,-1.7966887417218544,-8.59872611464968,2.47326203208556,2.343542613229028,2025-03-22
2025-03-22,Western,10,21,21,11,-1.4032510308110582,-2.1294903200174398,-0.9,-6.65322580645162,2.56410256410256,3.7430721162636122,2025-03-22
2025-03-23,Global/Other,95,330,330,101,-1.901159075567027,-1.84189067442138,-1.0989473684210527,-11.3573407202216,2.35042735042735,2.43021679608956,2025-03-23
2025-03-23,Western,6,22,30,6,-2.98023306156727,-3.070788159516387,-3.2000000000000006,-3.97633913900756,-1.98412698412698,1.0911795365640693,2025-03-23
2025-03-24,Chinese,3,15,15,3,-1.5227854823638598,0.02857008409687998,0.26666666666666666,-3.0741410488246,1.57992565055762,2.6870266617147975,2025-03-24
2025-03-24,Global/Other,144,512,512,145,-2.2016616978261685,-1.927107678766133,-1.5583333333333333,-9.80132450331126,4.49826989619377,2.359919674933089,2025-03-24
2025-03-24,Western,6,16,16,6,-2.7066248863518596,-2.839321182749507,2.0,-3.23741007194245,-1.35287485907553,0.7357043122655833,2025-03-24
2025-03-25,Chinese,17,73,73,17,1.3694391625090683,0.057899914729956155,-1.1058823529411765,-3.8243626062323,5.16129032258064,4.041800039521221,2025-03-25
2025-03-25,Global/Other,170,809,819,178,-2.4315211959953573,-2.3700300060733266,-1.6311764705882354,-11.9718309859155,5.71791613722998,3.0158206079823393,2025-03-25
2025-03-25,Western,11,36,36,11,-2.3533560300500382,-1.504467219950177,-1.6545454545454545,-4.05257393209201,1.2987012987013,1.500212050572866,2025-03-25
2025-03-26,Chinese,9,55,55,9,-3.277547454312598,-3.5055874860588134,1.5222222222222221,-5.6637168141593,-1.70807453416149,1.6557891534057005,2025-03-26
2025-03-26,Global/Other,212,753,763,217,-2.534075440843413,-2.8113371052951184,-1.213679245283019,-14.8148148148148,6.09418282548476,3.071716650820617,2025-03-26
2025-03-26,Western,9,19,19,9,-2.6062181276535323,-2.880734539296194,0.7111111111111111,-3.55029585798817,-0.98765432098765,0.987918855052159,2025-03-26
2025-03-27,Chinese,15,85,87,15,-1.437654590798168,-1.7117631986798916,-1.1133333333333333,-5.57377049180327,2.21565731166913,2.420125484599407,2025-03-27
2025-03-27,Global/Other,252,933,953,257,-1.875147235614577,-1.740670762995401,-1.2626984126984127,-11.2385321100917,4.3046357615894,2.4264826722878454,2025-03-27
